"Type Ligne","Identifiant de l'élément","Structure","Type de l'élément","Statut de l'élément","Nom base français","Nom base anglais","Nom base espagnol","Nom attribut français","Nom attribut anglais","Nom attribut espagnol","Nom frontière français","Nom frontière anglais","Code de la catégorie","Tags français","Tags anglais","Tags espagnol","Unité français","Unité anglais","Contributeur","Autres Contributeurs","Programme","Url du programme","Source","Localisation géographique","Sous-localisation géographique français","Sous-localisation géographique anglais","Sous-localisation géographique espagnol","Date de création","Date de modification","Période de validité","Incertitude","Réglementations","Transparence","Qualité","Qualité TeR","Qualité GR","Qualité TiR","Qualité C","Qualité P","Qualité M","Commentaire français","Commentaire anglais","Type poste","Nom poste français","Nom poste anglais","Nom poste espagnol","Total poste non décomposé","CO2f","CH4f","CH4b","N2O","Code gaz supplémentaire 1","Valeur gaz supplémentaire 1","Code gaz supplémentaire 2","Valeur gaz supplémentaire 2","Valeur gaz supplémentaire 3","Valeur gaz supplémentaire 4","Code gaz supplémentaire 5","Valeur gaz supplémentaire 5","Autres GES","CO2b"
"Elément","23197","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - électrique - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"m²","m²","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,
"Elément","23240","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - électrique - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,
"Elément","23151","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - fioul domestique - chauffage collectif",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,
"Elément","23155","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - fioul domestique - chauffage individuel",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,
"Elément","23227","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - fioul domestique - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1935,,,,,,,,,,,,,,
"Elément","23139","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - gaz naturel - chauffage collectif",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,
"Elément","23143","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - gaz naturel - chauffage individuel",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,
"Elément","23223","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - gaz naturel - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1640,,,,,,,,,,,,,,
"Elément","23171","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,
"Elément","23231","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1642,,,,,,,,,,,,,,
