# Defra / University of Leeds, UK and England's carbon footprint to 2023: spend-based emissions multipliers 1997 to 2023,
# sheet GHG_SIC_multipliers (kg CO2e per GBP at current basic prices, excl. VAT), years 2015-2023, rounded to 6 significant figures.
# Source file: https://assets.publishing.service.gov.uk/media/6a3ce5fa33bc5beefd3c4983/spend_based_emissions_multipliers_1997_to_2023.ods
# (published 30 June 2026; sha256 f694d0e5bf7161bb01cb35eb7418dbf21af37fabc7df66ce4696b1dde364b389). Open Government Licence v3.0.
# Columns: SIC code | SIC category | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023
73|Advertising and market research services|0.120365|0.127483|0.155343|0.139614|0.121597|0.106908|0.104838|0.117165|0.105744
74|Other professional, scientific and technical services|0.269062|0.201612|0.202933|0.210174|0.183413|0.171273|0.153611|0.149527|0.125908
75|Veterinary services|0.145967|0.152482|0.140021|0.116757|0.116735|0.113545|0.093997|0.0899816|0.0832389
77|Rental and leasing services|0.187044|0.184933|0.167812|0.168078|0.1693|0.170189|0.163028|0.141062|0.129773
78|Employment services|0.0543409|0.0532743|0.0554159|0.0536435|0.060641|0.0551006|0.0513629|0.0534287|0.0547724
79|Travel agency, tour operator and other reservation services and related services|0.43049|0.592698|0.626945|0.5958|0.515266|0.309109|0.186712|0.428746|0.437811
80|Security and investigation services|0.148253|0.198893|0.108921|0.10248|0.101762|0.112901|0.120555|0.101503|0.0894404
81|Services to buildings and landscape|0.236686|0.264461|0.174245|0.176063|0.155293|0.18032|0.180558|0.162024|0.138079
82|Office administrative, office support and other business support services|0.212873|0.171016|0.184639|0.191454|0.167219|0.211481|0.176707|0.170352|0.155789
84|Public administration and defence services; compulsory social security services|0.233201|0.287761|0.273538|0.268519|0.248219|0.252913|0.259909|0.24747|0.226379
85|Education services|0.139722|0.191035|0.185782|0.181224|0.164153|0.151485|0.144947|0.129119|0.11973
86|Human health services|0.246523|0.233006|0.198184|0.198157|0.192792|0.226368|0.234687|0.211511|0.184525
87|Residential care services|0.188435|0.199767|0.191778|0.198162|0.179044|0.160736|0.158815|0.139928|0.126032
88|Social work services without accommodation|0.162674|0.23091|0.213517|0.212435|0.189172|0.181926|0.171565|0.148017|0.135644
90|Creative, arts and entertainment services|0.276234|0.371529|0.358172|0.354419|0.342952|0.32541|0.334915|0.328772|0.296305
91|Libraries, archives, museums and other cultural services|0.212996|0.390253|0.38138|0.294784|0.25661|0.302625|0.294486|0.284334|0.254822
92|Gambling and betting services|0.126667|0.125894|0.115802|0.118073|0.117682|0.126772|0.128344|0.120552|0.112635
93|Sports services and amusement and recreation services|0.305316|0.287552|0.281652|0.286007|0.250584|0.287018|0.280168|0.251913|0.232307
94|Services furnished by membership organisations|0.148897|0.237565|0.275274|0.229122|0.236908|0.190551|0.185994|0.185421|0.173722
95|Repair services of computers and personal and household goods|0.144858|0.0972649|0.086644|0.0912548|0.0923634|0.112996|0.106674|0.11383|0.101322
96|Other personal services|0.137885|0.122798|0.105785|0.0881898|0.0838692|0.0906847|0.0925719|0.0903516|0.0820133
97|Services of households as employers of domestic personnel|0.0343691|0.0313593|0.030957|0.0290487|0.0278528|0.0290794|0.032193|0.040856|0.0349553
